feature,importance
lamina2__talking_intervals__speechrate,0.10929103
lamina2__talking_intervals__nsyll,0.09910206
lamina2__mlu__quantity_of_sentences,0.094640575
lamina2__talking_intervals__pause_duration_mean,0.09035625
lamina2__universal_dependencies__core_norm,0.08286727
lamina2__talking_intervals__syllable_duration_mean,0.060841404
lamina2__verbosity__adj_count,0.057909798
lamina2__word_properties__granularity_mean,0.05790651
lamina2__verbosity__ratio_adj_over_total,0.04144165
lamina2__universal_dependencies__nominal_norm,0.032949433
lamina2__verbosity__ratio_adv_over_total,0.03183821
lamina2__word_properties__concreteness_mean,0.031057438
lamina2__verbosity__ratio_verb_over_total,0.027413467
lamina2__mlu__mlu,0.025956385
lamina2__word_properties__log_frq_mean,0.025761457
lamina2__verbosity__mattr_all,0.023737459
lamina2__verbosity__adv_count,0.019727942
lamina2__word_properties__num_syll_mean,0.019491926
lamina2__universal_dependencies__non-dependency_norm,0.018701304
lamina2__word_properties__num_phonemes_mean,0.014790943
lamina2__universal_dependencies__non-core_norm,0.009850173
lamina2__verbosity__noun_count,0.008275616
lamina2__verbosity__ratio_noun_over_total,0.0073596667
lamina2__talking_intervals__npauses,0.005377696
lamina2__word_properties__phon_neigh_mean,0.003354275
lamina2__verbosity__verb_count,0.0
lamina2__verbosity__total_words,0.0
