feature,importance
dia_tipico__word_properties__log_frq_mean,0.13429634
dia_tipico__talking_intervals__pause_duration_mean,0.11354732
dia_tipico__word_properties__concreteness_mean,0.08319159
dia_tipico__talking_intervals__speechrate,0.07592885
dia_tipico__universal_dependencies__non-core_norm,0.07481771
dia_tipico__mlu__mlu,0.06852474
dia_tipico__word_properties__num_syll_mean,0.05843079
dia_tipico__universal_dependencies__core_norm,0.054739125
dia_tipico__verbosity__ratio_adv_over_total,0.053817734
dia_tipico__word_properties__phon_neigh_mean,0.050562907
dia_tipico__talking_intervals__nsyll,0.043398473
dia_tipico__word_properties__num_phonemes_mean,0.03245549
dia_tipico__talking_intervals__syllable_duration_mean,0.027045177
dia_tipico__verbosity__ratio_adj_over_total,0.022775091
dia_tipico__verbosity__ratio_verb_over_total,0.021231566
dia_tipico__universal_dependencies__non-dependency_norm,0.019611914
dia_tipico__mlu__quantity_of_sentences,0.01767384
dia_tipico__verbosity__noun_count,0.01583192
dia_tipico__word_properties__granularity_mean,0.010267448
dia_tipico__verbosity__verb_count,0.0060185976
dia_tipico__verbosity__adv_count,0.0057985573
dia_tipico__verbosity__mattr_all,0.003959176
dia_tipico__verbosity__total_words,0.0037424902
dia_tipico__verbosity__ratio_noun_over_total,0.0023331298
dia_tipico__universal_dependencies__nominal_norm,0.0
dia_tipico__verbosity__adj_count,0.0
dia_tipico__talking_intervals__npauses,0.0
